read	### Authoring or modifying a skill\n\n**You own the skill's voice.**\n\n1. Use the **create-skill** skill (`/skill:create-skill`), which follows Pi's skills documentation.\n2. Validate the skill: frontmatter has `name` and `description`, referenced files exist, cross-skill links resolve.\n3. Test cases if structural. Skip if subjective.\n4. Run **Opening a PR**.\n\nWhen in doubt, delete. Keep only prose that changes a decision. Tell it to do the thing and skip the reason. Explain only when the rule is confusing without one. Match tone to scope. Point at structural sources (types, READMEs, config) per the **encode-lessons-in-structure** principle skill. Delegate to other skills by path. Don't restate. A workflow you keep hitting but isn't captured → propose a new skill.\n\n**Reply:** summary of the skill, key design decisions, validation notes.\n	false
todo	Added todo #28: Use the **create-skill** skill (`/skill:create-skill`), which follows Pi's skills documentation.\nAdded todo #29: Validate the skill: frontmatter has `name` and `description`, referenced files exist, cross-skill links resolve.\nAdded todo #30: Test cases if structural. Skip if subjective.\nAdded todo #31: Run **Opening a PR**.\nAdded todo #32: Append the exact authorized line to the specified `how/SKILL.md` and verify it is the final line.	false
read	---\nname: how\ndescription: "Use for \\"how does X work\\", code walkthroughs before changing something, and placement / ownership / layering questions (\\"where should this live\\", \\"which package owns this\\", \\"is this the right layer\\"). Explains subsystem architecture, runtime flow, onboarding mental models. Use why for motivation."\ndisable-model-invocation: true\n---\n\n# How\n\nLoading this skill authorizes the Task calls it prescribes.\n\nExplore the codebase to answer "how does X work?" questions. Produce architectural explanations at the level of a senior engineer onboarding onto a subsystem, enough to build a working mental model, not so much that it reads like annotated source code.\n\nCursor rule wording: Each spawn below names a role line in the `pstack-models.mdc` rule and a default. On Pi, each spawn below names a role line in the pstack models block in AGENTS.md in Pi's agent directory (`$PI_CODING_AGENT_DIR`, default `~/.pi/agent`) and a default. Set `model` to that line's value, or to the default if the block or line is missing. Omit `model` when the value is `auto` or `inherit-parent`. If Task rejects a configured model, use the default and say so. If Task rejects the default, use the closest valid model of the same provider family from its error message.\n\n## Step 1. Assess Complexity\n\nIf the scope is ambiguous, state your interpretation and explore. The user can redirect.\n\n- **Simple** (a single module, a small utility, a narrow question such as "how does function X work"): no explorers. One explainer explores and explains in a single pass. Go to Step 2b.\n- **Complex** (a subsystem spanning multiple files or services, a cross-cutting feature, a full architectural overview): spawn parallel explorers first, then hand off to the explainer. Go to Step 2a.\n\nWhen in doubt, take the simple path. For a configured `inherit-parent` or `auto` model, omit `model` so Task uses the parent model.\n\n## Step 2a. Explore (complex questions only)\n\nDecompose the question into 2 to 4 exploration angles, each a distinct slice of the subsystem. Spawn all explorers in a single message, with one Task per angle:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explorer` line, default `anthropic/claude-sonnet-5:xhigh`\n\nEach explorer gets the prompt in `references/explorer-prompt.md` with its angle filled in. Then go to Step 3.\n\n## Step 2b. Direct Explain (simple questions)\n\nSpawn one Task that explores and explains in one pass:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explainer` line, default `anthropic/claude-opus-5-5:max`\n\nBuild its prompt from `references/explainer-prompt.md` without the explorer-findings section. Go to Step 4.\n\n## Step 3. Synthesize (complex questions only)\n\nOnce all explorers have returned, spawn one Task to synthesize their findings into one explanation:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explainer` line, default `anthropic/claude-opus-5-5:max`\n\nBuild its prompt from `references/explainer-prompt.md` with every explorer's findings filled in.\n\n## Step 4. Present\n\nPresent the explainer's output to the user. Light edits for clarity or context from the conversation are fine. Do not substantially rewrite it.\n\n## Output Format\n\nThe explanation uses the sections defined in `references/explainer-prompt.md`, dropping any that do not apply: Overview, Key Concepts, How It Works, Where Things Live, Gotchas.\n	false
todo	Todo #28 completed	false
todo	Todo #32 in_progress	false
edit	Successfully replaced 1 block(s) in /var/folders/11/m_kwnqr97632l_cjt0mhytvh0000gn/T/tmp.b08aVoImvG/skills/how/SKILL.md.	false
read	---\nname: how\ndescription: "Use for \\"how does X work\\", code walkthroughs before changing something, and placement / ownership / layering questions (\\"where should this live\\", \\"which package owns this\\", \\"is this the right layer\\"). Explains subsystem architecture, runtime flow, onboarding mental models. Use why for motivation."\ndisable-model-invocation: true\n---\n\n# How\n\nLoading this skill authorizes the Task calls it prescribes.\n\nExplore the codebase to answer "how does X work?" questions. Produce architectural explanations at the level of a senior engineer onboarding onto a subsystem, enough to build a working mental model, not so much that it reads like annotated source code.\n\nCursor rule wording: Each spawn below names a role line in the `pstack-models.mdc` rule and a default. On Pi, each spawn below names a role line in the pstack models block in AGENTS.md in Pi's agent directory (`$PI_CODING_AGENT_DIR`, default `~/.pi/agent`) and a default. Set `model` to that line's value, or to the default if the block or line is missing. Omit `model` when the value is `auto` or `inherit-parent`. If Task rejects a configured model, use the default and say so. If Task rejects the default, use the closest valid model of the same provider family from its error message.\n\n## Step 1. Assess Complexity\n\nIf the scope is ambiguous, state your interpretation and explore. The user can redirect.\n\n- **Simple** (a single module, a small utility, a narrow question such as "how does function X work"): no explorers. One explainer explores and explains in a single pass. Go to Step 2b.\n- **Complex** (a subsystem spanning multiple files or services, a cross-cutting feature, a full architectural overview): spawn parallel explorers first, then hand off to the explainer. Go to Step 2a.\n\nWhen in doubt, take the simple path. For a configured `inherit-parent` or `auto` model, omit `model` so Task uses the parent model.\n\n## Step 2a. Explore (complex questions only)\n\nDecompose the question into 2 to 4 exploration angles, each a distinct slice of the subsystem. Spawn all explorers in a single message, with one Task per angle:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explorer` line, default `anthropic/claude-sonnet-5:xhigh`\n\nEach explorer gets the prompt in `references/explorer-prompt.md` with its angle filled in. Then go to Step 3.\n\n## Step 2b. Direct Explain (simple questions)\n\nSpawn one Task that explores and explains in one pass:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explainer` line, default `anthropic/claude-opus-5-5:max`\n\nBuild its prompt from `references/explainer-prompt.md` without the explorer-findings section. Go to Step 4.\n\n## Step 3. Synthesize (complex questions only)\n\nOnce all explorers have returned, spawn one Task to synthesize their findings into one explanation:\n\n- `subagent_type`: `generalPurpose`\n- `readonly`: `true`\n- `model`: the `how explainer` line, default `anthropic/claude-opus-5-5:max`\n\nBuild its prompt from `references/explainer-prompt.md` with every explorer's findings filled in.\n\n## Step 4. Present\n\nPresent the explainer's output to the user. Light edits for clarity or context from the conversation are fine. Do not substantially rewrite it.\n\n## Output Format\n\nThe explanation uses the sections defined in `references/explainer-prompt.md`, dropping any that do not apply: Overview, Key Concepts, How It Works, Where Things Live, Gotchas.\n<!-- U6_AUTHORIZED_EDIT -->\n	false
bash	NO_GIT_REPOSITORY\nREFERENCE_EXISTS\n	false
todo	Todo #29 completed	false
todo	Todo #30 completed	false
